// n = 100, k = 50, seed = 9527, # of sigma = 20, # of algorithms = 3
BCH5 SpecOrth logarithm	Newton Algorithm	Hybrid Algorithm
100	50	9527	20	3
0.1	0.2789473684210526	0.45789473684210524	0.6368421052631579	0.8157894736842105	0.9947368421052631	1.1736842105263159	1.3526315789473684	1.5315789473684212	1.7105263157894737	1.8894736842105264	2.068421052631579	2.2473684210526317	2.4263157894736844	2.6052631578947367	2.7842105263157895	2.963157894736842	3.142105263157895	3.3210526315789473	3.5

BCH5 SpecOrth logarithm
8708681	8937887	9022111	9147020	15195287	15366441	15442886	15638230	15886742	22040313	22568543	22959369	29832543	31359571	53885721	222271522	79941773	123652832	131763439	184828757
8832350	8890650	8952527	9085417	15103374	15170782	15240619	15410530	15776800	22062704	22582031	23205285	30245263	32675058	128477698	133993854	191246855	414426292	142241211	211417358
8714866	8833191	8750819	8888706	14986311	15121004	15203977	15411544	15684753	22189964	22509976	22964947	29780134	43151720	69324697	496163820	361718040	118286625	101574777	194766137
8624237	8834941	8867657	8979909	15082206	15206757	15274936	15411406	15512434	21746663	22050750	22503809	29101048	30694736	51102583	158613409	167726605	188818936	95828455	210890851
8590326	8653193	8724877	8855192	14842729	15019711	15248062	15451015	21570128	22005560	22445753	23168125	30163290	44352027	128986071	96289790	99928430	172957134	161780161	848677825
8733371	8846987	8815788	8927768	14950092	15082795	15183162	15197929	15455454	21849237	22278636	22665119	29628202	32023267	55858433	244203796	204156036	408998756	1554935444	149995419
8869106	8769490	8816400	8960982	14996246	15125679	15211144	15378608	21632564	21922186	22346338	23147454	30077490	33257442	134417821	4937867951	492862280	128561074	157491704	175966517
8662265	8916765	8929005	9046208	15088278	15249364	15335058	15461862	21704340	22141010	22346041	23010595	29969694	44530242	102981034	432275656	136012625	128850576	151785277	135890508
8666831	8915828	8962686	9112655	15153538	15323994	15456454	15562951	15795266	22178226	22425802	23240902	30012912	33035540	108417334	125138953	210115130	372875695	643286465	214638090
8849564	8960740	8947490	9022063	15138476	15344382	15624535	15680719	21897333	22220861	22654317	23234158	30355919	39208506	71992177	140631750	109599287	115686503	188133968	262292317
